,error,altitude,pressure,year,flight,dpressure,mach,CPI
0,2.9944296030609507,9265.0205078125,286.8136901855469,2015,b897,83.02237701416016,0.6137557029724121,0.03606774114104473
1,2.475095256484394,9297.6416015625,286.97186279296875,2015,b897,84.1776123046875,0.6174933314323425,0.02940324854458442
2,2.937337076383301,9329.3203125,287.02459716796875,2015,b897,85.23883819580078,0.6209867000579834,0.03446007874527795
3,2.185924986412914,10259.609375,249.6131134033203,2015,b897,81.18875122070312,0.6472428441047668,0.02692398828097141
4,2.5280588175131697,10289.2890625,249.56600952148438,2015,b897,78.99775695800781,0.6393075585365295,0.03200165314639236
5,2.1733726369947135,10312.5595703125,249.14244079589844,2015,b897,73.44351959228516,0.6188911199569702,0.029592435780038714
6,1.9642299478088603,10571.5166015625,237.969482421875,2015,b897,76.33926391601562,0.643196702003479,0.025730270990951667
7,2.352262069166983,10522.2138671875,237.92416381835938,2015,b897,81.4919662475586,0.662561297416687,0.028864956602239967
8,2.4302785477638054,10477.435546875,237.47142028808594,2015,b897,73.3843765258789,0.6323555111885071,0.03311711106391659
9,2.464905144576619,10517.490234375,238.01480102539062,2015,b897,82.18085479736328,0.6649695038795471,0.029993666416033724
10,2.1016499652890275,10554.0791015625,238.01480102539062,2015,b897,83.46857452392578,0.669648289680481,0.02517893683073025
11,2.01901520283198,10598.455078125,237.92416381835938,2015,b897,84.01240539550781,0.6717255115509033,0.024032346096115206
0,4.109993391934722,6526.11669921875,465.16461181640625,2015,b920,73.00904083251953,0.46116137504577637,0.05629430745930383
1,4.573727443692974,6527.923828125,465.16461181640625,2015,b920,77.64540100097656,0.4748273491859436,0.05890532323524801
2,3.355065408897758,6526.4853515625,465.16461181640625,2015,b920,74.22315216064453,0.4647867977619171,0.04520241071998988
3,4.096197277024089,6527.1044921875,465.16461181640625,2015,b920,71.85240936279297,0.45767533779144287,0.05700848883635635
0,3.3212170965018117,6511.17236328125,465.3205871582031,2015,b922,73.5199966430664,0.4626177251338959,0.04517433688994914
0,3.5160517006875693,6859.0712890625,445.8482360839844,2015,b923,73.64321899414062,0.47246962785720825,0.04774440537379717
1,3.941829793041734,6882.30810546875,446.0743103027344,2015,b923,75.8144760131836,0.4789001941680908,0.05199310211358947
2,4.2065118117492375,6899.32470703125,446.1496887207031,2015,b923,74.25096893310547,0.4741610288619995,0.0566526184397538
